Title,Year,Duration,Rating,Gross,Genre
Lethal Weapon 3,1992,118 min,6.7,$144.73M,"Action, Crime, Thriller"
Robin Hood,2010,140 min,6.6,$105.27M,"Action, Adventure, Drama"
Inglourious Basterds,2009,153 min,8.3,$120.54M,"Adventure, Drama, War"
101 Dalmatians,1996,103 min,5.7,$136.19M,"Adventure, Comedy, Crime"
The Conjuring,2013,112 min,7.5,$137.40M,"Horror, Mystery, Thriller"
Fatal Attraction,1987,119 min,6.9,$156.65M,"Drama, Thriller"
Sonic the Hedgehog,2020,99 min,6.5,$148.97M,"Action, Adventure, Comedy"
The Last Airbender,2010,103 min,4,$131.56M,"Action, Adventure, Family"
The Proposal,2009,108 min,6.7,$163.96M,"Comedy, Drama, Romance"
The Polar Express,2004,100 min,6.6,$183.37M,"Animation, Adventure, Comedy"
A Beautiful Mind,2001,135 min,8.2,$170.74M,"Biography, Drama"
Beverly Hills Cop,1984,105 min,7.3,$234.76M,"Action, Comedy, Crime"
Air Force One,1997,124 min,6.5,$172.96M,"Action, Drama, Thriller"
Wonder,2017,113 min,7.9,$132.42M,"Drama, Family"
The Expendables 2,2012,103 min,6.6,$85.02M,"Action, Adventure, Thriller"
Chicken Little,2005,81 min,5.7,$135.39M,"Animation, Adventure, Comedy"
As Good as It Gets,1997,139 min,7.7,$148.48M,"Comedy, Drama, Romance"
Knives Out,2019,130 min,7.9,$165.36M,"Comedy, Crime, Drama"
Maze Runner: The Scorch Trials,2015,131 min,6.3,$81.70M,"Action, Adventure, Sci-Fi"
Resident Evil: The Final Chapter,2016,107 min,5.5,$26.83M,"Action, Horror, Sci-Fi"
The Lego Batman Movie,2017,104 min,7.3,$175.75M,"Animation, Action, Adventure"
Austin Powers: The Spy Who Shagged Me,1999,95 min,6.6,$206.04M,"Action, Adventure, Comedy"
Ocean's Thirteen,2007,122 min,6.9,$117.15M,"Crime, Thriller"
Little Fockers,2010,98 min,5.5,$148.38M,"Comedy, Romance"
Bolt,2008,96 min,6.8,$114.05M,"Animation, Adventure, Comedy"
Ransom,1996,121 min,6.7,$136.49M,"Action, Crime, Thriller"
Runaway Bride,1999,116 min,5.6,$152.26M,"Comedy, Romance"
The Blind Side,2009,129 min,7.6,$255.96M,"Biography, Drama, Sport"
Qian ren 3: Zai jian qian ren,2017,120 min,5.6,$0.84M,"Comedy, Romance"
The Fault in Our Stars,2014,126 min,7.7,$124.87M,"Drama, Romance"
The Pursuit of Happyness,2006,117 min,8,$163.57M,"Biography, Drama"
Rise of the Guardians,2012,97 min,7.2,$103.41M,"Animation, Action, Adventure"
Close Encounters of the Third Kind,1977,138 min,7.6,$132.09M,"Drama, Sci-Fi"
Chicago,2002,113 min,7.2,$170.69M,"Comedy, Crime, Musical"
Annabelle: Creation,2017,109 min,6.5,$102.09M,"Horror, Mystery, Thriller"
Bridesmaids,2011,125 min,6.8,$169.11M,"Comedy, Romance"
Skyscraper,2018,102 min,5.8,$68.42M,"Action, Adventure, Thriller"
A Good Day to Die Hard,2013,98 min,5.2,$67.35M,"Action, Thriller"
Mulan,1998,87 min,7.6,$120.62M,"Animation, Adventure, Comedy"
Dangal,2016,161 min,8.3,$12.39M,"Biography, Drama, Sport"
Passengers,2016,116 min,7,$100.01M,"Drama, Romance, Sci-Fi"
Battleship,2012,131 min,5.8,$65.42M,"Action, Adventure, Sci-Fi"
Liar Liar,1997,86 min,6.9,$181.41M,"Comedy, Fantasy"
G.I. Joe: The Rise of Cobra,2009,118 min,5.7,$152.27M,"Action, Adventure, Sci-Fi"
Wrath of the Titans,2012,99 min,5.7,$83.67M,"Action, Adventure, Fantasy"
4: Rise of the Silver Surfer,2007,92 min,5.6,$131.92M,"Action, Adventure, Fantasy"
Hook,1991,142 min,6.8,$119.65M,"Adventure, Comedy, Family"
Superman,1978,143 min,7.4,$134.22M,"Action, Adventure, Sci-Fi"
Rocky IV,1985,91 min,6.9,$127.87M,"Drama, Sport"
Rambo: First Blood Part II,1985,96 min,6.5,$150.42M,"Action, Adventure, Thriller"
Resident Evil: Afterlife,2010,96 min,5.8,$60.13M,"Action, Horror, Sci-Fi"
Van Helsing,2004,131 min,6,$120.18M,"Action, Adventure, Fantasy"
Stuart Little,1999,84 min,6,$140.04M,"Adventure, Comedy, Family"
Beverly Hills Cop II,1987,100 min,6.5,$153.67M,"Action, Comedy, Crime"
Alice Through the Looking Glass,2016,113 min,6.2,$77.04M,"Adventure, Family, Fantasy"
My Best Friend's Wedding,1997,105 min,6.3,$127.12M,"Comedy, Drama, Romance"
Real Steel,2011,127 min,7,$85.47M,"Action, Drama, Sci-Fi"
Horton Hears a Who!,2008,86 min,6.8,$154.53M,"Animation, Adventure, Comedy"
Ocean's Eight,2018,110 min,6.3,$140.22M,"Action, Comedy, Crime"
A Quiet Place Part II,2020,97 min,7.2,$160.07M,"Drama, Horror, Sci-Fi"
Insurgent,2015,119 min,6.2,$130.18M,"Action, Adventure, Sci-Fi"
Look Who's Talking,1989,93 min,5.9,$140.09M,Comedy
Austin Powers in Goldmember,2002,94 min,6.2,$213.31M,"Action, Adventure, Comedy"
Ghostbusters,1984,105 min,7.8,$238.63M,"Action, Comedy, Fantasy"
Miss Peregrine's Home for Peculiar Children,2016,127 min,6.7,$87.24M,"Adventure, Drama, Family"
X-Men,2000,104 min,7.3,$157.30M,"Action, Adventure, Sci-Fi"
Ferdinand,2017,108 min,6.7,$84.41M,"Animation, Adventure, Comedy"
Shutter Island,2010,138 min,8.2,$128.01M,"Mystery, Thriller"
Doctor Dolittle,1998,85 min,5.4,$144.16M,"Comedy, Family, Fantasy"
Bee Movie,2007,91 min,6.1,$126.63M,"Animation, Adventure, Comedy"
Salt,2010,100 min,6.4,$118.31M,"Action, Thriller"
G-Force,2009,88 min,5.1,$119.44M,"Animation, Action, Adventure"
The Departed,2006,151 min,8.5,$132.38M,"Crime, Drama, Thriller"
What Lies Beneath,2000,130 min,6.6,$155.46M,"Drama, Horror, Mystery"
Pacific Rim: Uprising,2018,111 min,5.6,$59.87M,"Action, Adventure, Fantasy"
The Bourne Supremacy,2004,108 min,7.7,$176.24M,"Action, Mystery, Thriller"
Sex and the City 2,2010,146 min,4.5,$95.35M,"Comedy, Drama, Romance"
Shakespeare in Love,1998,123 min,7.1,$100.32M,"Comedy, Drama, History"
Divergent,2014,139 min,6.6,$150.95M,"Action, Adventure, Mystery"
Coming to America,1988,117 min,7.1,$128.15M,"Comedy, Romance"
Wedding Crashers,2005,119 min,7,$209.22M,"Comedy, Romance"
Maze Runner: The Death Cure,2018,143 min,6.2,$58.03M,"Action, Adventure, Sci-Fi"
Casper,1995,100 min,6.1,$100.33M,"Comedy, Family, Fantasy"
American Pie 2,2001,108 min,6.4,$145.10M,Comedy
Elvis,2022,159 min,7.3,$151.04M,"Biography, Drama, Music"
Pitch Perfect 2,2015,115 min,6.4,$184.30M,"Comedy, Music"
The Green Mile,1999,189 min,8.6,$136.80M,"Crime, Drama, Fantasy"
Oblivion,2013,124 min,7,$89.02M,"Action, Adventure, Sci-Fi"
Elysium,2013,109 min,6.6,$93.05M,"Action, Drama, Sci-Fi"
Lethal Weapon 4,1998,127 min,6.6,$130.44M,"Action, Crime, Thriller"
John Carter,2012,132 min,6.6,$73.08M,"Action, Adventure, Sci-Fi"
Turbo,2013,96 min,6.4,$83.03M,"Animation, Adventure, Comedy"
Paddington,2014,95 min,7.3,$76.27M,"Adventure, Comedy, Family"
Bridget Jones's Diary,2001,97 min,6.8,$71.54M,"Comedy, Drama, Romance"
The Tourist,2010,103 min,6,$67.63M,"Action, Thriller"
Split,2016,117 min,7.3,$138.29M,"Horror, Thriller"
Scary Movie,2000,88 min,6.2,$157.02M,Comedy
xXx,2002,124 min,5.8,$142.11M,"Action, Adventure, Thriller"
The Bourne Legacy,2012,135 min,6.6,$113.20M,"Action, Adventure, Thriller"
Mr. Peabody & Sherman,2014,92 min,6.8,$111.51M,"Animation, Adventure, Comedy"
Scooby-Doo,2002,89 min,5.2,$153.29M,"Adventure, Comedy, Family"
Lincoln,2012,150 min,7.3,$182.21M,"Biography, Drama, History"
Lara Croft: Tomb Raider,2001,100 min,5.7,$131.14M,"Action, Adventure, Fantasy"
Tomb Raider,2018,119 min,6.3,$58.25M,"Action, Adventure, Fantasy"
The Expendables,2010,103 min,6.4,$103.07M,"Action, Adventure, Thriller"
Cloudy with a Chance of Meatballs 2,2013,95 min,6.3,$119.79M,"Animation, Adventure, Comedy"
The Nutty Professor,1996,95 min,5.7,$128.81M,"Comedy, Romance, Sci-Fi"
Jerry Maguire,1996,139 min,7.3,$153.95M,"Comedy, Drama, Romance"
Bad Boys II,2003,147 min,6.6,$138.61M,"Action, Comedy, Crime"
Lilo & Stitch,2002,85 min,7.3,$145.79M,"Animation, Adventure, Comedy"
The Silence of the Lambs,1991,118 min,8.6,$130.74M,"Crime, Drama, Thriller"
Grown Ups,2010,102 min,5.9,$162.00M,Comedy
Neighbors,2014,97 min,6.3,$150.16M,Comedy
The Firm,1993,154 min,6.8,$158.35M,"Drama, Mystery, Thriller"
We're the Millers,2013,110 min,7,$150.39M,"Comedy, Crime"
Gran Torino,2008,116 min,8.1,$148.10M,Drama
"10,000 BC",2008,109 min,5.1,$94.78M,"Action, Adventure, Drama"
American Gangster,2007,157 min,7.8,$130.16M,"Biography, Crime, Drama"
Epic,2013,102 min,6.6,$107.52M,"Animation, Action, Adventure"
Exodus: Gods and Kings,2014,150 min,6,$65.01M,"Action, Adventure, Drama"
Blade Runner 2049,2017,164 min,8,$92.05M,"Action, Drama, Mystery"
Bambi,1942,69 min,7.3,$102.80M,"Animation, Adventure, Drama"
The Princess and the Frog,2009,97 min,7.1,$104.40M,"Animation, Adventure, Comedy"
Batman Returns,1992,126 min,7.1,$162.83M,"Action, Crime, Fantasy"
Indecent Proposal,1993,117 min,6,$106.61M,"Drama, Romance"
Something's Gotta Give,2003,128 min,6.7,$124.73M,"Comedy, Drama, Romance"
Bridget Jones: The Edge of Reason,2004,108 min,6,$40.23M,"Comedy, Drama, Romance"
The Incredible Hulk,2008,112 min,6.6,$134.52M,"Action, Adventure, Sci-Fi"
Waterworld,1995,135 min,6.3,$88.25M,"Action, Adventure, Sci-Fi"
The Truman Show,1998,103 min,8.2,$125.62M,"Comedy, Drama"
Charlie's Angels,2000,98 min,5.6,$125.31M,"Action, Adventure, Comedy"
The Fifth Element,1997,126 min,7.6,$63.54M,"Action, Adventure, Sci-Fi"
Jumanji,1995,104 min,7,$100.48M,"Adventure, Comedy, Family"
Gisaengchung,2019,132 min,8.5,$53.37M,"Drama, Thriller"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84 min,7.4,$128.51M,Comedy
Robots,2005,91 min,6.4,$128.20M,"Animation, Adventure, Comedy"
Knight and Day,2010,109 min,6.3,$76.42M,"Action, Adventure, Comedy"
Total Recall,1990,113 min,7.5,$119.39M,"Action, Adventure, Sci-Fi"
This Is It,2009,111 min,7.2,$72.09M,"Documentary, Drama, Music"
Terminator: Dark Fate,2019,128 min,6.2,$62.25M,"Action, Adventure, Sci-Fi"
The Lone Ranger,2013,150 min,6.4,$89.30M,"Action, Adventure, Western"
Super 8,2011,112 min,7,$127.00M,"Action, Mystery, Sci-Fi"
Halloween,2018,106 min,6.5,$159.34M,"Crime, Horror, Thriller"
Xun long jue,2015,127 min,5.9,$1.24M,"Action, Adventure, Drama"
Charlie's Angels: Full Throttle,2003,106 min,4.9,$100.83M,"Action, Adventure, Comedy"
Rush Hour 3,2007,91 min,6.2,$140.13M,"Action, Comedy, Crime"
The Full Monty,1997,91 min,7.2,$45.95M,"Comedy, Drama"
Gong fu yu jia,2017,107 min,5.1,$0.36M,"Action, Adventure, Comedy"
Annabelle,2014,99 min,5.4,$84.27M,"Horror, Mystery, Thriller"
Encanto,2021,102 min,7.2,$96.09M,"Animation, Comedy, Family"
The Village,2004,108 min,6.6,$114.20M,"Drama, Mystery, Thriller"
Gang jiong,2015,114 min,5.4,$1.30M,"Action, Adventure, Comedy"
Erin Brockovich,2000,131 min,7.4,$125.60M,"Biography, Drama"
Us,2019,116 min,6.8,$175.08M,"Horror, Mystery, Thriller"
Fei chi ren sheng,2019,98 min,6.3,,"Comedy, Sport"
Get Out,2017,104 min,7.7,$176.04M,"Horror, Mystery, Thriller"
Marley & Me,2008,111 min,7,$143.15M,"Drama, Family"
Cliffhanger,1993,113 min,6.5,$84.05M,"Action, Adventure, Thriller"
Baahubali 2: The Conclusion,2017,167 min,8.2,$20.19M,"Action, Drama"
Babe,1995,91 min,6.9,$66.60M,"Comedy, Drama, Family"
Men in Black: International,2019,114 min,5.6,$80.00M,"Action, Adventure, Comedy"
Wild Hogs,2007,100 min,5.8,$168.27M,"Action, Adventure, Comedy"
High School Musical 3: Senior Year,2008,112 min,4.9,$90.56M,"Comedy, Drama, Family"
Hercules,1997,93 min,7.3,$99.05M,"Animation, Adventure, Comedy"
Dark Phoenix,2019,113 min,5.7,$65.85M,"Action, Adventure, Sci-Fi"
True Grit,2010,110 min,7.6,$171.24M,"Drama, Western"
Dolittle,2020,101 min,5.6,$77.05M,"Adventure, Comedy, Family"
Bean,1997,89 min,6.5,$45.32M,"Adventure, Comedy, Family"
American Hustle,2013,138 min,7.2,$150.12M,"Crime, Drama"
Enemy of the State,1998,132 min,7.3,$111.55M,"Action, Thriller"
You've Got Mail,1998,119 min,6.7,$115.82M,"Comedy, Drama, Romance"
Eragon,2006,104 min,5.1,$75.03M,"Action, Adventure, Family"
Brother Bear,2003,85 min,6.8,$85.34M,"Animation, Adventure, Comedy"
The Godfather,1972,175 min,9.2,$134.97M,"Crime, Drama"
The Mask of Zorro,1998,136 min,6.8,$94.10M,"Action, Adventure, Comedy"
The Bad Guys,2022,100 min,6.8,$97.23M,"Animation, Adventure, Comedy"
The Ring,2002,115 min,7.1,$129.13M,"Horror, Mystery"
The Blair Witch Project,1999,81 min,6.5,$140.54M,"Horror, Mystery"
Unbreakable,2000,106 min,7.3,$95.01M,"Drama, Mystery, Sci-Fi"
Love Actually,2003,135 min,7.6,$59.70M,"Comedy, Drama, Romance"
Journey to the West: Demon Chapter,2017,109 min,5.4,$0.88M,"Adventure, Comedy, Fantasy"
Dumb and Dumber,1994,107 min,7.3,$127.18M,Comedy
Glass,2019,129 min,6.6,$111.05M,"Drama, Horror, Sci-Fi"
Grown Ups 2,2013,101 min,5.3,$133.67M,Comedy
The Peanuts Movie,2015,88 min,7,$130.18M,"Animation, Adventure, Comedy"
Rango,2011,107 min,7.2,$123.48M,"Animation, Action, Adventure"
Four Weddings and a Funeral,1994,117 min,7.1,$52.70M,"Comedy, Drama, Romance"
Face/Off,1997,138 min,7.3,$112.23M,"Action, Crime, Sci-Fi"
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112 min,5.9,$82.05M,"Action, Adventure, Comedy"
Dark Shadows,2012,113 min,6.2,$79.73M,"Comedy, Fantasy, Horror"
Hulk,2003,138 min,5.6,$132.18M,"Action, Sci-Fi"
Lie huo ying xiong,2019,118 min,5.7,$0.29M,"Action, Drama"
Bienvenue chez les Ch'tis,2008,106 min,7.1,$1.48M,"Comedy, Romance"
Back to the Future Part III,1990,118 min,7.4,$87.73M,"Adventure, Comedy, Sci-Fi"
Pixels,2015,105 min,5.6,$78.75M,"Action, Comedy, Fantasy"
Hercules,2014,98 min,6,$72.69M,"Action, Adventure, Fantasy"
Rush Hour,1998,98 min,7,$141.15M,"Action, Comedy, Crime"
Journey to the Center of the Earth,2008,93 min,5.8,$101.70M,"Action, Adventure, Family"
After Earth,2013,100 min,4.8,$60.52M,"Action, Adventure, Sci-Fi"
A Few Good Men,1992,138 min,7.7,$141.34M,"Drama, Thriller"
Cloudy with a Chance of Meatballs,2009,90 min,6.9,$124.87M,"Animation, Adventure, Comedy"
8 Mile,2002,110 min,7.2,$116.72M,"Drama, Music"
Daddy's Home,2015,96 min,6.1,$150.36M,"Comedy, Family"
RoboCop,2014,117 min,6.1,$58.61M,"Action, Crime, Sci-Fi"
Eraser,1996,115 min,6.2,$101.30M,"Action, Crime, Thriller"
Alien: Covenant,2017,122 min,6.4,$74.26M,"Horror, Sci-Fi, Thriller"
Sully,2016,96 min,7.4,$125.07M,"Biography, Drama"
Assassin's Creed,2016,115 min,5.6,$54.65M,"Action, Adventure, Sci-Fi"
Click,2006,107 min,6.4,$137.36M,"Comedy, Drama, Fantasy"
Jiang Ziya,2020,110 min,6.5,$0.21M,"Animation, Action, Adventure"
Planes,2013,91 min,5.7,$90.29M,"Animation, Adventure, Comedy"
Resident Evil: Retribution,2012,95 min,5.3,$42.35M,"Action, Horror, Sci-Fi"
Die Hard 2,1990,124 min,7.1,$117.54M,"Action, Thriller"
Crocodile Dundee II,1988,108 min,5.7,$109.31M,"Action, Adventure, Comedy"
Bullet Train,2022,127 min,7.3,$103.37M,"Action, Comedy, Thriller"
Crazy Rich Asians,2018,120 min,6.9,$174.53M,"Comedy, Drama, Romance"
Batman & Robin,1997,125 min,3.7,$107.33M,"Action, Sci-Fi"
Hauru no ugoku shiro,2004,119 min,8.2,$4.71M,"Animation, Adventure, Family"
Gulliver's Travels,2010,85 min,4.9,$42.78M,"Adventure, Comedy, Family"
Gone in Sixty Seconds,2000,118 min,6.5,$101.65M,"Action, Crime, Thriller"
Saturday Night Fever,1977,118 min,6.8,$94.21M,"Drama, Music"
Silver Linings Playbook,2012,122 min,7.7,$132.09M,"Comedy, Drama, Romance"
2 Fast 2 Furious,2003,107 min,5.9,$127.15M,"Action, Crime, Thriller"
Hidden Figures,2016,127 min,7.8,$169.61M,"Biography, Drama, History"
A.I. Artificial Intelligence,2001,146 min,7.2,$78.62M,"Drama, Sci-Fi"
Dead Poets Society,1989,128 min,8.1,$95.86M,"Comedy, Drama"
Spy,2015,120 min,7,$110.83M,"Action, Comedy"
American Pie,1999,95 min,7,$102.56M,Comedy
American Reunion,2012,113 min,6.7,$57.01M,Comedy
Big Daddy,1999,93 min,6.4,$163.48M,"Comedy, Drama"
Alvin and the Chipmunks: The Road Chip,2015,92 min,4.9,$85.89M,"Animation, Adventure, Comedy"
The Imitation Game,2014,114 min,8,$91.13M,"Biography, Drama, Thriller"
Cruella,2021,134 min,7.3,$86.10M,"Adventure, Comedy, Crime"
The Day the Earth Stood Still,2008,104 min,5.5,$79.37M,"Adventure, Drama, Sci-Fi"
American Wedding,2003,96 min,6.3,$104.57M,Comedy
The Girl with the Dragon Tattoo,2011,158 min,7.8,$102.52M,"Crime, Drama, Mystery"
Juno,2007,96 min,7.5,$143.50M,"Comedy, Drama"
Argo,2012,120 min,7.7,$136.03M,"Biography, Drama, Thriller"
Mr. Bean's Holiday,2007,90 min,6.4,$33.30M,"Comedy, Family"
The English Patient,1996,162 min,7.4,$78.65M,"Drama, Romance, War"
Sister Act,1992,100 min,6.5,$139.61M,"Comedy, Family, Music"
Annabelle Comes Home,2019,106 min,5.9,$74.15M,"Horror, Mystery, Thriller"
Constantine,2005,121 min,7,$75.98M,"Action, Fantasy, Horror"
Get Smart,2008,110 min,6.5,$130.32M,"Action, Adventure, Comedy"
Space Jam,1996,88 min,6.5,$90.46M,"Animation, Adventure, Comedy"
La vita è bella,1997,116 min,8.6,$57.60M,"Comedy, Drama, Romance"
The Heat,2013,117 min,6.6,$159.58M,"Action, Comedy, Crime"
Ghostbusters,2016,117 min,6.8,$128.34M,"Action, Comedy, Fantasy"
Ghost Rider,2007,110 min,5.3,$115.80M,"Action, Fantasy, Thriller"
Xia Luo te fan nao,2015,104 min,6.7,$1.29M,Comedy
Paddington 2,2017,103 min,7.8,$40.44M,"Adventure, Comedy, Family"
Sleepless in Seattle,1993,105 min,6.8,$126.53M,"Comedy, Drama, Romance"
Lethal Weapon 2,1989,114 min,7.2,$147.25M,"Action, Crime, Thriller"
The Green Hornet,2011,119 min,5.8,$98.78M,"Action, Comedy, Crime"
Out of Africa,1985,161 min,7.1,$87.10M,"Biography, Drama, Romance"
Elf,2003,97 min,7.1,$173.40M,"Adventure, Comedy, Family"
Fang hua,2017,135 min,7,$1.89M,"Drama, Romance, War"
Baby Driver,2017,113 min,7.6,$107.83M,"Action, Crime, Drama"
Immortals,2011,110 min,6,$83.50M,"Action, Drama, Fantasy"
Taken,2008,90 min,7.8,$145.00M,"Action, Crime, Thriller"
