Title,Year,Duration,Rating,Gross,Genre
Percy Jackson & the Olympians: The Lightning Thief,2010,118 min,5.8,$88.76M,"Adventure, Family, Fantasy"
Lightyear,2022,105 min,6.1,$118.31M,"Animation, Action, Adventure"
Hansel & Gretel: Witch Hunters,2013,88 min,6.1,$55.70M,"Action, Fantasy, Horror"
Valerian and the City of a Thousand Planets,2017,136 min,6.4,$41.19M,"Action, Adventure, Fantasy"
Good Will Hunting,1997,126 min,8.3,$138.43M,"Drama, Romance"
Shaonian de ni,2019,135 min,7.5,,"Crime, Drama, Romance"
Ford v Ferrari,2019,152 min,8.1,$117.62M,"Action, Biography, Drama"
Jumper,2008,88 min,6.1,$80.17M,"Action, Adventure, Sci-Fi"
The Social Network,2010,120 min,7.8,$96.96M,"Biography, Drama"
Chicken Run,2000,84 min,7.1,$106.83M,"Animation, Adventure, Comedy"
Con Air,1997,115 min,6.9,$101.12M,"Action, Crime, Thriller"
Interview with the Vampire: The Vampire Chronicles,1994,123 min,7.5,$105.26M,"Drama, Fantasy, Horror"
Flightplan,2005,98 min,6.3,$89.71M,"Drama, Mystery, Thriller"
Yes Man,2008,104 min,6.8,$97.69M,"Comedy, Romance"
Non-Stop,2014,106 min,6.9,$92.17M,"Action, Mystery, Thriller"
"Honey, I Shrunk the Kids",1989,93 min,6.4,$130.72M,"Adventure, Comedy, Family"
Fahrenheit 9/11,2004,122 min,7.5,$119.19M,"Documentary, Drama, War"
Wild Wild West,1999,106 min,4.9,$113.81M,"Action, Comedy, Sci-Fi"
Wo he wo de fu bei,2021,157 min,6,$0.18M,Drama
Geostorm,2017,109 min,5.3,$33.70M,"Action, Sci-Fi, Thriller"
Presumed Innocent,1990,127 min,6.9,$86.30M,"Mystery, Thriller"
Jungle Cruise,2021,127 min,6.6,$116.99M,"Action, Adventure, Comedy"
Scary Movie 3,2003,84 min,5.5,$110.00M,Comedy
Collateral,2004,120 min,7.5,$101.01M,"Action, Crime, Drama"
Inferno,2016,121 min,6.2,$34.34M,"Action, Adventure, Crime"
Knocked Up,2007,129 min,6.9,$148.73M,"Comedy, Romance"
Green Lantern,2011,114 min,5.5,$116.60M,"Action, Adventure, Sci-Fi"
What Happens in Vegas,2008,99 min,6.1,$80.28M,"Comedy, Romance"
It's Complicated,2009,121 min,6.5,$112.74M,"Comedy, Drama, Romance"
The Terminal,2004,128 min,7.4,$77.87M,"Comedy, Drama, Romance"
Little Women,2019,135 min,7.8,$108.10M,"Drama, Romance"
Captain Phillips,2013,134 min,7.8,$107.10M,"Action, Biography, Crime"
The Prince of Egypt,1998,99 min,7.2,$101.22M,"Animation, Adventure, Drama"
Jack Reacher,2012,130 min,7,$80.07M,"Action, Mystery, Thriller"
Kingdom of Heaven,2005,144 min,7.2,$47.40M,"Action, Adventure, Drama"
The Emoji Movie,2017,86 min,3.4,$86.09M,"Animation, Adventure, Comedy"
Zhe ge sha shou bu tai leng jing,2022,109 min,6.1,$0.19M,Comedy
Dracula Untold,2014,92 min,6.2,$56.28M,"Action, Drama, Fantasy"
Central Intelligence,2016,107 min,6.3,$127.44M,"Action, Comedy, Crime"
Million Dollar Baby,2004,132 min,8.1,$100.49M,"Drama, Sport"
The Help,2011,146 min,8.1,$169.71M,Drama
Twins,1988,107 min,6.1,$111.94M,"Comedy, Crime"
Valentine's Day,2010,125 min,5.7,$110.49M,"Comedy, Romance"
Bad Teacher,2011,92 min,5.6,$100.29M,"Comedy, Romance"
Smile,2022,115 min,6.5,,"Horror, Mystery, Thriller"
Song ni yi duo xiao hong hua,2020,122 min,6.7,,"Drama, Family"
The Croods: A New Age,2020,95 min,6.9,$58.57M,"Animation, Adventure, Comedy"
Clear and Present Danger,1994,141 min,6.9,$122.19M,"Action, Crime, Drama"
One Hundred and One Dalmatians,1961,79 min,7.3,$144.88M,"Animation, Adventure, Comedy"
Ted 2,2015,115 min,6.3,$81.48M,Comedy
Dracula,1992,128 min,7.4,$82.52M,"Drama, Fantasy, Horror"
Vertical Limit,2000,124 min,5.9,$69.24M,"Action, Adventure, Drama"
Ghostbusters II,1989,108 min,6.6,$112.49M,"Action, Comedy, Fantasy"
The Patriot,2000,165 min,7.2,$113.33M,"Action, Drama, History"
The Sorcerer's Apprentice,2010,109 min,6.1,$63.15M,"Action, Adventure, Family"
Just Go with It,2011,117 min,6.4,$103.03M,"Comedy, Romance"
The Expendables 3,2014,126 min,6.1,$39.32M,"Action, Adventure, Thriller"
Dirty Dancing,1987,100 min,7,$0.62M,"Drama, Music, Romance"
Creed II,2018,130 min,7.1,$115.72M,"Action, Drama, Sport"
Smallfoot,2018,96 min,6.6,$83.24M,"Animation, Adventure, Comedy"
Public Enemies,2009,140 min,7,$97.10M,"Action, Biography, Crime"
The Bourne Identity,2002,119 min,7.9,$121.66M,"Action, Mystery, Thriller"
Disclosure,1994,128 min,6.1,$83.02M,"Drama, Thriller"
Pulp Fiction,1994,154 min,8.9,$107.93M,"Crime, Drama"
The Aviator,2004,170 min,7.5,$102.61M,"Biography, Drama"
Wo hu cang long,2000,120 min,7.9,$128.08M,"Action, Adventure, Drama"
Braveheart,1995,178 min,8.4,$75.60M,"Biography, Drama, History"
Into the Woods,2014,125 min,5.9,$128.00M,"Adventure, Comedy, Drama"
Bedtime Stories,2008,99 min,6,$110.10M,"Adventure, Comedy, Family"
Miss Congeniality,2000,109 min,6.3,$106.81M,"Action, Comedy, Crime"
Entrapment,1999,113 min,6.3,$87.70M,"Action, Crime, Romance"
Ace Ventura: When Nature Calls,1995,90 min,6.4,$108.39M,"Adventure, Comedy, Crime"
End of Days,1999,122 min,5.8,$66.89M,"Action, Fantasy, Horror"
Bridget Jones's Baby,2016,123 min,6.5,$24.25M,"Comedy, Drama, Romance"
Fury,2014,134 min,7.5,$85.82M,"Action, Drama, War"
Battle: Los Angeles,2011,116 min,5.7,$83.55M,"Action, Adventure, Sci-Fi"
Australia,2008,165 min,6.6,$49.55M,"Adventure, Drama, Romance"
Due Date,2010,95 min,6.5,$100.54M,"Comedy, Drama"
Master and Commander: The Far Side of the World,2003,138 min,7.4,$93.93M,"Action, Adventure, Drama"
A Series of Unfortunate Events,2004,108 min,6.8,$118.63M,"Adventure, Comedy, Family"
The Little Mermaid,1989,83 min,7.6,$111.54M,"Animation, Adventure, Family"
Qi ji · Ben xiao hai,2022,106 min,6.6,,"Comedy, Drama"
District 9,2009,112 min,7.9,$115.65M,"Action, Sci-Fi, Thriller"
Moonraker,1979,126 min,6.2,$70.31M,"Action, Adventure, Sci-Fi"
The Others,2001,101 min,7.6,$96.52M,"Horror, Mystery, Thriller"
Horrible Bosses,2011,98 min,6.9,$117.54M,"Comedy, Crime"
Hou lai de wo men,2018,120 min,7.4,,"Drama, Romance"
Red Dragon,2002,124 min,7.2,$93.15M,"Crime, Drama, Thriller"
Tomorrowland,2015,130 min,6.4,$93.44M,"Action, Adventure, Family"
Me Before You,2016,106 min,7.4,$56.25M,"Drama, Romance"
Safe House,2012,115 min,6.7,$126.37M,"Action, Thriller"
S.W.A.T.,2003,117 min,6,$116.93M,"Action, Adventure, Crime"
The Fast and the Furious,2001,106 min,6.8,$144.53M,"Action, Crime, Thriller"
Traffic,2000,147 min,7.6,$124.12M,"Crime, Drama, Thriller"
DC League of Super-Pets,2022,105 min,7.2,$93.66M,"Animation, Action, Adventure"
Paranormal Activity 3,2011,83 min,5.8,$104.01M,"Horror, Mystery"
Philadelphia,1993,125 min,7.7,$77.32M,Drama
The Conjuring: The Devil Made Me Do It,2021,112 min,6.3,$65.63M,"Horror, Mystery, Thriller"
Sleepy Hollow,1999,105 min,7.3,$101.07M,"Fantasy, Horror, Mystery"
The Holiday,2006,136 min,6.9,$63.22M,"Comedy, Romance"
The Jungle Book,1967,78 min,7.6,$141.84M,"Animation, Adventure, Comedy"
Nou fo,2021,126 min,6.5,$0.39M,"Action, Adventure, Crime"
London Has Fallen,2016,99 min,5.9,$62.68M,"Action, Thriller"
The Break-Up,2006,106 min,5.8,$118.70M,"Comedy, Drama, Romance"
Xi you: Xiang mo pian,2013,110 min,6.7,$0.02M,"Action, Adventure, Comedy"
The Ugly Truth,2009,96 min,6.4,$88.92M,"Comedy, Romance"
JFK,1991,189 min,8,$70.41M,"Drama, History, Thriller"
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,109 min,6,$84.16M,"Action, Comedy, Crime"
White House Down,2013,131 min,6.3,$73.10M,"Action, Drama, Thriller"
A Dog's Purpose,2017,100 min,7.2,$64.51M,"Adventure, Comedy, Drama"
Gake no ue no Ponyo,2008,101 min,7.6,$15.09M,"Animation, Adventure, Comedy"
Fun with Dick and Jane,2005,90 min,6.2,$110.33M,"Comedy, Crime"
Eat Pray Love,2010,133 min,5.8,$80.57M,"Biography, Drama, Romance"
The Addams Family,2019,86 min,5.8,$100.04M,"Animation, Comedy, Family"
Ghostbusters: Afterlife,2021,124 min,7.1,$129.36M,"Adventure, Comedy, Fantasy"
You Don't Mess with the Zohan,2008,113 min,5.6,$100.02M,"Action, Comedy"
Hairspray,2007,117 min,6.7,$118.87M,"Comedy, Drama, Musical"
King Arthur,2004,126 min,6.3,$51.88M,"Action, Adventure, Drama"
Yogi Bear,2010,81 min,4.6,$100.25M,"Animation, Adventure, Comedy"
Everest,2015,121 min,7.1,$43.48M,"Action, Adventure, Biography"
Vanilla Sky,2001,136 min,6.9,$100.61M,"Fantasy, Mystery, Romance"
Arrival,2016,116 min,7.9,$100.55M,"Drama, Mystery, Sci-Fi"
Need for Speed,2014,132 min,6.4,$43.58M,"Action, Thriller"
Garfield,2004,80 min,5,$75.37M,"Animation, Adventure, Comedy"
Patch Adams,1998,115 min,6.8,$135.03M,"Biography, Comedy, Drama"
Teenage Mutant Ninja Turtles,1990,93 min,6.7,$135.27M,"Action, Adventure, Comedy"
Kindergarten Cop,1990,111 min,6.2,$91.46M,"Action, Comedy, Crime"
Straight Outta Compton,2015,147 min,7.8,$161.20M,"Biography, Drama, History"
21 Jump Street,2012,109 min,7.2,$138.45M,"Action, Comedy, Crime"
Valkyrie,2008,121 min,7.1,$83.08M,"Drama, History, Thriller"
Open Season,2006,86 min,6.1,$85.11M,"Animation, Adventure, Comedy"
Cats & Dogs,2001,87 min,5.1,$93.39M,"Action, Adventure, Comedy"
The Hunt for Red October,1990,135 min,7.5,$122.01M,"Action, Adventure, Thriller"
Percy Jackson: Sea of Monsters,2013,106 min,5.7,$68.56M,"Adventure, Family, Fantasy"
Two Weeks Notice,2002,101 min,6.1,$93.35M,"Comedy, Romance"
RED,2010,111 min,7,$90.38M,"Action, Comedy, Crime"
Chak dan juen ga 2,2020,120 min,6.6,,"Action, Crime, Thriller"
City of Angels,1998,114 min,6.7,$78.69M,"Drama, Fantasy, Romance"
The Pacifier,2005,95 min,5.6,$113.09M,"Action, Comedy, Drama"
50 First Dates,2004,99 min,6.8,$120.91M,"Comedy, Drama, Romance"
Total Recall,2012,118 min,6.2,$58.88M,"Action, Adventure, Sci-Fi"
Yi chu hao xi,2018,134 min,6.2,$0.67M,"Comedy, Drama"
Lo imposible,2012,114 min,7.5,$19.02M,"Adventure, Drama, History"
Ren zai jiong tu: Tai jiong,2012,105 min,6.2,$0.06M,"Adventure, Comedy, Drama"
Christopher Robin,2018,104 min,7.2,$99.22M,"Adventure, Comedy, Drama"
Jack the Giant Slayer,2013,114 min,6.2,$65.19M,"Action, Adventure, Fantasy"
Smurfs: The Lost Village,2017,90 min,6,$45.02M,"Animation, Adventure, Comedy"
Zhong guo yi sheng,2021,129 min,4.7,,Drama
Spy Kids 3: Game Over,2003,84 min,4.3,$111.76M,"Action, Adventure, Comedy"
Panic Room,2002,112 min,6.8,$96.40M,"Crime, Drama, Thriller"
The Other Woman,2014,109 min,6,$83.91M,"Comedy, Romance"
Stargate,1994,116 min,7,$71.57M,"Action, Adventure, Sci-Fi"
Beowulf,2007,115 min,6.3,$82.16M,"Animation, Action, Adventure"
The Vow,2012,104 min,6.8,$125.01M,"Drama, Romance"
Anger Management,2003,106 min,6.2,$135.65M,Comedy
Tropic Thunder,2008,107 min,7.1,$110.52M,"Action, Comedy, War"
The Shape of Water,2017,123 min,7.3,$63.86M,"Drama, Fantasy, Romance"
Rocketman,2019,121 min,7.3,$96.37M,"Biography, Drama, Musical"
The Pelican Brief,1993,141 min,6.6,$100.77M,"Crime, Drama, Mystery"
The BFG,2016,117 min,6.3,$55.48M,"Adventure, Family, Fantasy"
Downton Abbey,2019,122 min,7.4,$96.85M,"Drama, Romance"
The Intern,2015,121 min,7.1,$75.76M,"Comedy, Drama"
The Curse of the Were-Rabbit,2005,85 min,7.5,$56.11M,"Animation, Adventure, Comedy"
Gnomeo & Juliet,2011,84 min,5.9,$99.97M,"Animation, Adventure, Comedy"
The Sum of All Fears,2002,124 min,6.4,$118.91M,"Action, Drama, Thriller"
Gangs of New York,2002,167 min,7.5,$77.81M,"Crime, Drama"
The Post,2017,116 min,7.2,$81.90M,"Biography, Drama, History"
Xi you ji zhi: Sun Wukong san da Baigu Jing,2016,119 min,5.9,$0.71M,"Action, Adventure, Fantasy"
Paranormal Activity,2007,86 min,6.3,$107.92M,"Horror, Mystery"
Tenki no ko,2019,112 min,7.5,$7.80M,"Animation, Drama, Fantasy"
The Lego Movie 2: The Second Part,2019,107 min,6.6,$105.81M,"Animation, Action, Adventure"
The Equalizer,2014,132 min,7.2,$101.53M,"Action, Crime, Thriller"
Wu sha,2019,112 min,6.8,,"Crime, Drama, Thriller"
The Addams Family,1991,99 min,6.9,$113.50M,"Comedy, Fantasy"
The Longest Yard,2005,113 min,6.4,$158.12M,"Comedy, Crime, Sport"
The Lost City,2022,112 min,6.1,$105.34M,"Action, Adventure, Comedy"
The Santa Clause,1994,97 min,6.5,$144.83M,"Comedy, Drama, Family"
Cheaper by the Dozen,2003,98 min,5.9,$138.61M,"Comedy, Family"
The Equalizer 2,2018,121 min,6.7,$102.08M,"Action, Crime, Thriller"
Abominable,2019,97 min,7,$60.72M,"Animation, Adventure, Comedy"
Hollow Man,2000,112 min,5.8,$73.21M,"Action, Horror, Sci-Fi"
Outbreak,1995,127 min,6.6,$67.82M,"Action, Drama, Thriller"
So duk 2: Tin dei duei kuet,2019,99 min,6,$0.61M,"Action, Crime"
The X Files,1998,121 min,7,$83.90M,"Drama, Mystery, Sci-Fi"
Xin hua lu fang,2014,116 min,6.4,$0.77M,"Comedy, Drama, Romance"
Rambo III,1988,102 min,5.8,$53.72M,"Action, Adventure, Thriller"
The Secret Life of Walter Mitty,2013,114 min,7.3,$58.24M,"Adventure, Comedy, Drama"
Mou seung,2018,130 min,6.8,,"Action, Crime, Mystery"
Jaws 2,1978,116 min,5.8,$102.92M,"Adventure, Horror, Thriller"
12 Years a Slave,2013,134 min,8.1,$56.67M,"Biography, Drama, History"
Heat,1995,170 min,8.3,$67.44M,"Action, Crime, Drama"
Mr. Popper's Penguins,2011,94 min,6,$68.22M,"Comedy, Family, Fantasy"
The Grudge,2004,91 min,5.9,$110.36M,"Horror, Mystery, Thriller"
I Now Pronounce You Chuck & Larry,2007,115 min,5.9,$120.06M,"Comedy, Romance"
The Horse Whisperer,1998,169 min,6.7,$75.38M,"Drama, Romance, Western"
Walk the Line,2005,136 min,7.8,$119.52M,"Biography, Drama, Music"
Jian bing xia,2015,113 min,5.6,,Comedy
The Jungle Book 2,2003,72 min,5.3,$47.89M,"Animation, Adventure, Comedy"
The Final Destination,2009,82 min,5.1,$66.48M,"Horror, Thriller"
Atlantis: The Lost Empire,2001,95 min,6.9,$84.05M,"Animation, Action, Adventure"
Inside Man,2006,129 min,7.6,$88.51M,"Crime, Drama, Mystery"
The Waterboy,1998,90 min,6.1,$161.49M,"Comedy, Sport"
Hugo,2011,126 min,7.5,$73.86M,"Adventure, Drama, Family"
Pitch Perfect 3,2017,93 min,5.8,$104.90M,"Comedy, Music"
Watchmen,2009,162 min,7.6,$107.51M,"Action, Drama, Mystery"
The Birdcage,1996,117 min,7.2,$124.06M,Comedy
Moulin Rouge!,2001,127 min,7.6,$57.39M,"Drama, Musical, Romance"
Snow White and the Seven Dwarfs,1937,83 min,7.6,$184.93M,"Animation, Adventure, Family"
Hop,2011,95 min,5.4,$108.09M,"Animation, Adventure, Comedy"
Bad Moms,2016,100 min,6.2,$113.26M,Comedy
Jupiter Ascending,2015,127 min,5.3,$47.39M,"Action, Adventure, Sci-Fi"
Knowing,2009,121 min,6.2,$79.96M,"Action, Mystery, Sci-Fi"
102 Dalmatians,2000,100 min,4.8,$66.96M,"Adventure, Comedy, Family"
Storks,2016,87 min,6.8,$72.68M,"Animation, Adventure, Comedy"
Stand by Me Doraemon,2014,95 min,7.3,,"Animation, Comedy, Drama"
The Hitman's Bodyguard,2017,118 min,6.9,$75.47M,"Action, Comedy, Crime"
Paul Blart: Mall Cop,2009,91 min,5.2,$20.82M,"Action, Comedy, Crime"
Wayne's World,1992,94 min,7,$121.70M,"Comedy, Music"
Maverick,1994,127 min,7,$101.63M,"Action, Adventure, Comedy"
Mirror Mirror,2012,106 min,5.6,$64.94M,"Adventure, Comedy, Drama"
The Man in the Iron Mask,1998,132 min,6.5,$56.97M,"Action, Adventure, Drama"
Cape Fear,1991,128 min,7.3,$79.10M,"Crime, Thriller"
The Haunted Mansion,2003,99 min,5.1,$75.85M,"Comedy, Family, Fantasy"
Xi you ji: Da nao tian gong,2014,119 min,4.9,$0.71M,"Action, Adventure, Family"
While You Were Sleeping,1995,103 min,6.8,$81.06M,"Comedy, Drama, Romance"
The Bridges of Madison County,1995,135 min,7.6,$71.52M,"Drama, Romance"
Du cheng feng yun III,2016,113 min,2.6,,"Comedy, Drama"
Poseidon,2006,98 min,5.7,$60.67M,"Action, Adventure, Thriller"
The First Wives Club,1996,103 min,6.4,$105.49M,Comedy
Xuan ya zhi shang,2021,120 min,6.5,$0.15M,"Crime, Drama, Thriller"
Scooby-Doo 2: Monsters Unleashed,2004,93 min,5.2,$84.22M,"Adventure, Comedy, Family"
Hot Shots!,1991,84 min,6.7,$69.47M,"Action, Comedy"
Road to Perdition,2002,117 min,7.7,$104.45M,"Crime, Drama, Thriller"
Kill Bill: Vol. 1,2003,111 min,8.2,$70.10M,"Action, Crime, Drama"
The Scorpion King,2002,92 min,5.5,$91.05M,"Action, Adventure, Fantasy"
Sweet Home Alabama,2002,108 min,6.2,$127.22M,"Comedy, Romance"
Daddy's Home 2,2017,100 min,6,$104.03M,Comedy
Hacksaw Ridge,2016,139 min,8.1,$67.21M,"Biography, Drama, History"
Deja Vu,2006,126 min,7.1,$64.04M,"Action, Crime, Sci-Fi"
Dangerous Minds,1995,99 min,6.5,$84.92M,"Biography, Drama"
One Piece Film Red,2022,115 min,6.7,$12.78M,"Animation, Action, Adventure"
The Dictator,2012,83 min,6.4,$59.65M,Comedy
The League of Extraordinary Gentlemen,2003,110 min,5.8,$66.47M,"Action, Adventure, Fantasy"
Allegiant,2016,120 min,5.7,$66.18M,"Action, Adventure, Mystery"
Daredevil,2003,103 min,5.3,$102.54M,"Action, Crime"
City Slickers,1991,113 min,6.8,$124.03M,"Comedy, Western"
He's Just Not That Into You,2009,129 min,6.4,$93.95M,"Comedy, Drama, Romance"
Eagle Eye,2008,118 min,6.6,$101.11M,"Action, Mystery, Thriller"
Along Came Polly,2004,90 min,6,$88.10M,"Comedy, Romance"
Flushed Away,2006,85 min,6.6,$64.67M,"Animation, Action, Adventure"
Scary Movie 4,2006,83 min,5.1,$90.71M,Comedy
Dante's Peak,1997,108 min,6,$67.13M,"Action, Adventure, Thriller"
Brokeback Mountain,2005,134 min,7.7,$83.04M,"Drama, Romance"
Patriot Games,1992,117 min,6.8,$83.29M,"Action, Thriller"
Flubber,1997,93 min,5.3,$92.98M,"Comedy, Family, Sci-Fi"
Baywatch,2017,116 min,5.5,$58.06M,"Action, Comedy, Crime"
Double Jeopardy,1999,105 min,6.5,$116.74M,"Crime, Drama, Mystery"
War Horse,2011,146 min,7.2,$79.88M,"Action, Adventure, Drama"
Paranormal Activity 2,2010,91 min,5.7,$84.75M,"Horror, Mystery"
How to Lose a Guy in 10 Days,2003,116 min,6.4,$105.81M,"Comedy, Romance"
AVP: Alien vs. Predator,2004,101 min,5.6,$80.28M,"Action, Adventure, Horror"
Ying xiong,2002,120 min,7.9,$53.71M,"Action, Adventure, Drama"
The 40 Year Old Virgin,2005,116 min,7.1,$109.45M,"Comedy, Romance"
